web_scraper_order,web_scraper_start_url,Marque,Modele,prix,Kilometrage,Boite_de_vitesse,Region_de_vente,Annee,pagination
"1786243704-76","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Volkswagen Golf","2000 Volkswagen Golf","CFA 1 500 000","160 000 km","A Bazarder Golf 2 Diesel Manuel. Prix last: 1.500.000f Contact: 782718278 ou 764823888","Dakar","2000 Volkswagen Golf","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-77","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Peugeot 308","2009 Peugeot 308","CFA 3 600 000","140 000 km","A vendre 308 Break Climatisé/ Diesel manuel/ Annee : 2009. Prix: 3.600.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2009 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-78","https://www.gaaraas.com/fr/users/dakar-auto?page=2","Citroen C3","Citroen C3","CFA 1 800 000","220 000 km","Citroen C3/ Écran de bord bluetooth carte très faible consommation/Diesel manuel/ 316000km/ prix: 1.800.000f Contact: 782718278 ou 764823888","Dakar","Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-79","https://www.gaaraas.com/fr/users/dakar-auto?page=2","1989 Renault 19","1989 Renault 19","CFA 2 300 000","180 000 km","A bazarder R19 / diesel manuel/ annee: 1989. Prix: 2.300.000f Contact: 782718278 ou 764823888","Dakar","1989 Renault 19","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243704-80","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Toyota Aygo","2009 Toyota Aygo","CFA 2 700 000","150 000 km","A Bazarder Toyota aygo manuel essence année 2009. Prix: 2.700.000f Contact: 782718278 ou 764823888","Dakar","2009 Toyota Aygo","https://www.gaaraas.com/fr/users/dakar-auto?page=5"
"1786243708-81","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","2008 Peugeot 307","CFA 3 200 000","140 000 km","A vendre 307 Break diesel manuel année 2008 avec papier complet/7 places d'origine. Prix: 3.200.000f Contact Appel ou Whatsapp: 764823888 ou 782718278","Dakar","2008 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-82","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 000 000","160 000 km","A Bazarder peugeot 307 a Bas Prix tout intact/ Diesel Manuel/ Annee: 2007. Prix last: 2 millions last Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-83","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Renault Megane","2005 Renault Megane","CFA 2 000 000","160 000 km","A bazarder Renault Mégane en Excellent etat, tres propre/ Direction assistée/ Diesel Manuel/ Annee: 2005. Prix: 2 millions Contact: 782718278 ou 764823888","Dakar","2005 Renault Megane","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-84","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Volkswagen Passat","2007 Volkswagen Passat","CFA 1 600 000","120 000 km","Volkswagen Passat/ Gasoil / Manuel/ Année 2007 prix 1600000 Contact: 782718278","Dakar","2007 Volkswagen Passat","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-85","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Ford Escort","2007 Ford Escort","CFA 2 700 000","174 000 km","Ford ecosport essence Manuel moteur solide en chaîne année 2007 faible consommation très solide / 174.000km / Prix: 2.700.000f Contact: 782718278 ou 764823888","Dakar","2007 Ford Escort","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-86","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Kia Sorento","2009 Kia Sorento","CFA 3 800 000","140 000 km","Big wantére Kia sorento 2009 diesel manuel climatisé exellen eta salon cuire tres propre Prix last: 3 800 000 Contact: 782718278 ou 764823888","Dakar","2009 Kia Sorento","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-87","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 300 000","160 000 km","307 Break tres propre avec Moteur venant 406 / Annee: 2007/Diesel Manuel. Prix: 2.300.000f Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-88","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Peugeot 406","2004 Peugeot 406","CFA 2 000 000","18 000 km","Wanter Peugeot 406 Diesel Manuel Papiers complet. Prix last: 2 millions Contact: 782718278 ou 764823888","Dakar","2004 Peugeot 406","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-89","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 000 000","160 000 km","307 diesel manuel/ 2007/ prix: 2millions Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-90","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2014 Nissan Altima","2014 Nissan Altima","CFA 2 500 000","110 000 km","Nissan Altima Essence automatique Papier complet Moteur d'origine climtisé Année 2014 Prix 2 500 000 last Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2014 Nissan Altima","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-91","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Ford Escape","2010 Ford Escape","CFA 6 000 000","180 000 km","Ford escape 2010 Full Options / Essence automatique/ 180000kms. Prix: 6 millions Contact: 782718278 ou 764823888","Dakar","2010 Ford Escape","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-92","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2003 Opel Astra","2003 Opel Astra","CFA 2 500 000","160 000 km","Opel gasoil manuel /papier complet 7places Prix: 2.500.000frs Contact: 782718278 ou 764823888","Dakar","2003 Opel Astra","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-93","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 BMW 315","2007 BMW 315","CFA 1 500 000","120 000 km","Bmw318 Essence manuel Papier complet Moteur bou wow Kong 4 cylindre Prix last: 1 500.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2007 BMW 315","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-94","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2002 Rover 600","2002 Rover 600","CFA 1 800 000","128 000 km","Rover / Annee 2002 / Essence manuel a 1.800.000f Contact: 782718278 ou 764823888","Dakar","2002 Rover 600","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-95","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Jeep Patriot","2010 Jeep Patriot","CFA 3 900 000","140 000 km","Jeep 4 x 4 essence ⛽ manuel année 2010 en parfait état plaque BA très propre faible consommation vendu à un prix cadeau 3.900.000 Fr🤠 Contact: 782718278 ou 764823888","Dakar","2010 Jeep Patriot","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-96","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Hyundai Tucson","2008 Hyundai Tucson","CFA 2 600 000","110 000 km","Vente Hyundai Tucson diesel manuel climatisé Prix last: 2.600.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2008 Hyundai Tucson","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-97","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Renault Clio","2004 Renault Clio","CFA 1 900 000","120 000 km","Renault Clio/ Manuel Essence Année 2004 prix 1900000. Contact: 782718278 ou 764823888","Dakar","2004 Renault Clio","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-98","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Ford Taurus","2006 Ford Taurus","CFA 3 800 000","200 000 km","Wanter Ford Transit / Diesel manuel/ 20 places mentionnées 16places sur la carte a Grise/ Annee: 2006. Prix Kheweul: 3.800.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2006 Ford Taurus","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-99","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","2008 Peugeot 307","CFA 2 600 000","250 000 km","Peugeot 307/ 7places/ Diesel manuel/Année 2008 /kilométrage 250 000. Prix: 2.600.000f last Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243708-100","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen C3","2008 Citroen C3","CFA 1 800 000","160 000 km","A bazarder Citroen C3 en excellent etat climatisé/ Diesel Manuel/ Annee: 2008. Prix last: 1.800.000f Contact: 782718278 ou 764823888","Dakar","2008 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=6"
"1786243712-101","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Toyota Land Cruiser Prado","2005 Toyota Land Cruiser Prado","CFA 3 800 000","130 000 km","Vente Toyota Landcruiser année 2005 07 places 02 reservoirs 02 roues de secours 17cv / 4 cylindres/ diesel manuel. Prix Wanter: 3.800.000f Contact Appel ou Whatsapp: 782718278 ou 764823888.","Dakar","2005 Toyota Land Cruiser Prado","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-102","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 206","2008 Peugeot 206","CFA 2 300 000","164 000 km","Peugeot 206 essence climatisé a 2.300.000f last Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 206","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-103","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 807","2007 Peugeot 807","CFA 2 800 000","160 000 km","807 manuel dièsel 7 place lep diam Prix: 2.800.000f last Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 807","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-104","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","2008 Peugeot 307","CFA 2 500 000","128 000 km","307 essence manuel. Km 128.000 / Prix: 2.500.000f. Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-105","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Land Rover Range Rover Sport","2008 Land Rover Range Rover Sport","CFA 6 000 000","130 000 km","Wanter Range rover Sport / essence automatique annee 2008 / 4cylindres. Prix: 6 millions. Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2008 Land Rover Range Rover Sport","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-106","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Honda Civic","2007 Honda Civic","CFA 2 300 000","180 000 km","Honda civic / automatique essence/ annee 2007. Prix: 2 millions. Contact: 782718278 ou 764823888","Dakar","2007 Honda Civic","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-107","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Laguna","2007 Renault Laguna","CFA 2 000 000","160 000 km","MARQUE: RENAULT LAGUNA - DIESEL - 2007 Vehicule en bon état Tous les papiers en règle: Carte Grise + Licence + Visite Technique jusqu'à fin AVRIL 2019. PRIX non négociable: 2 millions Contact: 782718278 ou 764823888","Dakar","2007 Renault Laguna","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-108","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Nissan Rogue","2009 Nissan Rogue","CFA 5 500 000","160 000 km","Wanter Nissan Rogue en excellent etat/Essence automatique/ Annee: 2011/ PriX: 5.500.000f Contact: 782718278 ou 764823888","Dakar","2009 Nissan Rogue","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-109","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Ford Edge","2011 Ford Edge","CFA 10 000 000","105 000 km","Vente Ford Edge sport 2011 AWD, venant full options, toit panoramique, excellent moteur puissant/ détails : grand écran tactile / clé let's go/ déverrouillage à la paume, etc. / essence automatique/ 105.000 km/ climatisée. Prix ferme : 10 millions Contact appel ou WhatsApp :","Dakar","2011 Ford Edge","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-110","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2002 Renault 19","2002 Renault 19","CFA 2 100 000","160 000 km","A bazarder R19 tres propre/Diesel Manuel. Prix last: 2.100.000f Contact: 782718278 ou 764823888","Dakar","2002 Renault 19","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-111","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 BMW X1","2010 BMW X1","CFA 3 700 000","150 000 km","Marque brillance Bs4 venant d'Allemagne année 2010 kilométrage 150 000 / Essence / Automatique /déjà dedouane. Pix: 3.700.000f Contact: 782718278 ou 764823888","Dakar","2010 BMW X1","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-112","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Citroen C4","2006 Citroen C4","CFA 2 200 000","160 000 km","Citroen C4 diesel ⛽ manuel / Annee: 2006 en bon état propre moteur nickel propre plaque BA *Prix last : 2.200.000 Fr* Contact: 782718278 ou 764823888","Dakar","2006 Citroen C4","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-113","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Citroen C4","2007 Citroen C4","CFA 2 100 000","160 000 km","A bazarder Citroen C4 manuel diesel 2007, moteur Dv6. Prix last: 2.100.000f Contact: 782718278 ou 764823888","Dakar","2007 Citroen C4","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-114","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Skoda Octavia","2012 Skoda Octavia","CFA 3 500 000","147 000 km","Skoda Octavia venant sous Douane / Diesel Manuel/ moins de 150.000km/ annee 2012 / Prix: 3,5 millions Contact: 782718278 ou 764823888","Dakar","2012 Skoda Octavia","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-115","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Citroen Berlingo","2007 Citroen Berlingo","CFA 2 000 000","140 000 km","Wanter du jour Citroën Berlingo diesel manuel. Prix last: 2 millions Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2007 Citroen Berlingo","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-116","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen Berlingo","2008 Citroen Berlingo","CFA 2 300 000","160 000 km","Wanter Citroen Berlingo 2 portes /Diesel Manuel/ Annee: 2008. Interieur et exterieur tres propre. Prix last: 2.300.000f Contact: 782718278 ou 764823888","Dakar","2008 Citroen Berlingo","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-117","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Toyota Corolla","2008 Toyota Corolla","CFA 3 300 000","140 000 km","Très jolie et propre extérieur comme intérieur Toyota Corolla année 2008 manuelle diésel dernier prix 3.000.000 fcfa Contact: 782718278 ou 764823888","Dakar","2008 Toyota Corolla","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-118","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Peugeot 207","2010 Peugeot 207","CFA 3 200 000","144 410 km","207 Essence manuel année 2010/ 144.410 km / prix 3200000f Contact:782718278 ou 764823888","Dakar","2010 Peugeot 207","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-119","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Mazda 6","2010 Mazda 6","CFA 4 000 000","182 000 km","Vente Mazda 6 Climatisé/ Essence automatique faible consommation /Toit ouvran/ tres propre/ Annee:2010 / 182.000km/ papier complet Prix last: 4 millions Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2010 Mazda 6","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243712-120","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 300 000","137 000 km","307 essence manuel 2007/ 137000km / prix : 2.300.000 Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=7"
"1786243715-121","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Renault Laguna","2004 Renault Laguna","CFA 2 000 000","160 000 km","Laguna Type2 / Diesel manuel /2004/ 4cylindres/moteur electronique propre. Prix: 2 millions Contact: 782718278 ou 764823888","Dakar","2004 Renault Laguna","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-122","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 308","2008 Peugeot 308","CFA 3 300 000","120 000 km","Peugeot 308 Break 7places/ Annee: 2008/ Diesel Manuel/ Prix last: 3.300.000f Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 308","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-123","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2004 Mercedes‒Benz 250","2004 Mercedes‒Benz 250","CFA 1 900 000","160 000 km","Wanter urgent pour 24h!! Mercedes 250 tres propre,aucun probleme/Diesel Manuel. Prix last: 1.900.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2004 Mercedes‒Benz 250","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-124","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2013 Nissan Qashqai+2","2013 Nissan Qashqai+2","CFA 6 500 000","101 000 km","A bazarder Nissan Qashqai +2 climatisé avec Carbotage venant en excellent etat / 7 places/ Diesel Manuel/ 101.000km/Annee: 2013. Prix Wanter: 6.500.000 f Contact: 782718278 ou 764823888","Dakar","2013 Nissan Qashqai+2","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-125","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Ford Escape","2011 Ford Escape","CFA 4 300 000","130 000 km","Wanter du jour!! ford Escape / essence otomatik climatisé très bien entretenu / 4 cylindres. prix last: 4.300.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2011 Ford Escape","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-126","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 307","2007 Peugeot 307","CFA 2 100 000","90 000 km","307 essence manuel climatisé/Annee: 2007/ Prix: 2.700.000f Prix: 782718278 ou 764823888","Dakar","2007 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-127","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2013 Hyundai Elantra","2013 Hyundai Elantra","CFA 5 800 000","21 000 km","Vente Hyundai Elantra Venant Année 2013 Moteur essence Transmission automatique Kilométrage 21.000km Full option, camera de recule ,toit ouvrant,commande au volant Prix last: 5.800.000f Contact Appel ou Whatsapp:782718278 ou 764823888","Dakar","2013 Hyundai Elantra","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-128","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Mitsubishi Endeavor","2012 Mitsubishi Endeavor","CFA 4 300 000","100 000 km","A bazarder Mitsubishi Endeavor climatisé venant 2012 Essence Automatique 6 cylindres Deja dédouane Prix: 4.300.000f Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2012 Mitsubishi Endeavor","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-129","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Peugeot 508","2011 Peugeot 508","CFA 5 500 000","179 000 km","Peugeot 508 Diesel automatique/ Annee: 2011. 179000 km. Prix: 5.500.000f Contact: 782718278 ou 764823888","Dakar","2011 Peugeot 508","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-130","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Citroen C3","2006 Citroen C3","CFA 1 900 000","160 000 km","Wanter Citroën c3 tres Propre Année 2006 Diesel manuel Climatisé Conduite par une dame Voiture très propre comme sur les photos Prix :1.900.000 Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2006 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-131","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Scenic","2007 Renault Scenic","CFA 1 950 000","160 000 km","A bazarder Renault Scenic tres propre/ Diesel Manuel/ Annee: 2007. Prix last: 1.950.000f Contact: 782718278 ou 764823888","Dakar","2007 Renault Scenic","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-132","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Citroen Nemo","2009 Citroen Nemo","CFA 2 400 000","160 000 km","A Bazarder Citroen Nemo tres propre / Annee 2009 mise en circulation en 2018/Diesel Manuel. Prix last: 2.400.000f Contact: 782718278 ou 764823888","Dakar","2009 Citroen Nemo","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-133","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Peugeot 407","2006 Peugeot 407","CFA 2 300 000","291 000 km","A bazarder Peugeot 407 climatisé/ diesel manuel/ 291.000km/ annee: 2006. Prix:2.300.000f Contact:782718278 ou 764823888","Dakar","2006 Peugeot 407","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-134","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Nissan Versa","2010 Nissan Versa","CFA 2 500 000","120 000 km","Nissan Versa en excellebt etat/ automatique essence année 2010 tous les papier en règle. Prix last: 2.500.000f Contact: 782718278 ou 764823888","Dakar","2010 Nissan Versa","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-135","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2005 Renault Scenic","2005 Renault Scenic","CFA 1 500 000","180 000 km","Wanter du siecle!! Renault Scenic /Diesel Manuel/ Annee: 2005. Prix last: 1.500.000f Contact: 782718278 ou 764823888","Dakar","2005 Renault Scenic","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-136","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2006 Renault Megane","2006 Renault Megane","CFA 1 800 000","160 000 km","Wanter Megane Z Diesel Manuel/ Annee: 2006. Prix: 1.800.000f Contact: 782718278 ou 764823888","Dakar","2006 Renault Megane","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-137","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Peugeot 407","2007 Peugeot 407","CFA 2 600 000","180 000 km","407 / Annee: 2007 diesel manuel/ Climatisé. bon état moteur papier complet Prix: 2.600.000f Contact: 782718278 ou 764823888","Dakar","2007 Peugeot 407","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-138","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Mercedes‒Benz 190","2000 Mercedes‒Benz 190","CFA 2 400 000","160 000 km","Wanter vite fais!! Taxi Mercedes 190/ Diesel manuel. Prix: 2.400.000f last Contact appel ou Whatsapp: 782718278 ou 764823888","Dakar","2000 Mercedes‒Benz 190","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-139","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2012 Renault Kangoo","2012 Renault Kangoo","CFA 4 500 000","264 127 km","Vente Renault Kangoo / Diesel Manuel/ 264127 km / Annee: 2012. Prix: 4.500.000f Contact: 782718278 ou 764823888","Dakar","2012 Renault Kangoo","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243715-140","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Hyundai Accent","2007 Hyundai Accent","CFA 1 700 000","","Hyundai essence manuel en bon état lépp nickel papier complet Prix 1.700.000frs Contact: 782718278 ou 764823888","Dakar","2007 Hyundai Accent","https://www.gaaraas.com/fr/users/dakar-auto?page=8"
"1786243718-141","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Renault Clio","2010 Renault Clio","CFA 2 700 000","120 000 km","Clio 3 Annee 2010 Carburant diesel 4 cylindre Aucun probleme Prix: 2.700.000f Contact: 782718278 ou 764823888","Dakar","2010 Renault Clio","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-142","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Dacia Logan","2008 Dacia Logan","CFA 3 000 000","160 000 km","Dacia Logan 7 places/Annee: 2008/ Diesel manuel. En parfait etat! Prix last: 3 millions Contact: 782718278 ou 764823888","Dakar","2008 Dacia Logan","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-143","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2007 Renault Laguna","2007 Renault Laguna","CFA 1 400 000","180 000 km","Wanter Renault Laguna papiers complet Annee 2007/ diesel Manuel/ Prix last: 1.400.000f. Contact: 782718278 ou 764823888","Dakar","2007 Renault Laguna","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-144","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2011 Peugeot 3008","2011 Peugeot 3008","CFA 6 500 000","","Peugeot 3008 venant / Diesel Manuel 2011/ 233045km. Prix: 6.500.000f Contact: 782718278 ou 764823888","Dakar","2011 Peugeot 3008","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-145","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Peugeot 307","2008 Peugeot 307","CFA 2 200 000","160 000 km","A Bazarder 307 essence manuel Tout intact / annee 2008. Prix last: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2008 Peugeot 307","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-146","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2008 Citroen C3","2008 Citroen C3","CFA 2 000 000","200 000 km","Citroen C3/Diesel Manuel/ Annee: 2008. Prix: 2 millions Contact: 782718278 ou 764823888","Dakar","2008 Citroen C3","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-147","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2010 Citroen C4","2010 Citroen C4","CFA 2 200 000","289 983 km","A bazarder Citroen C4 climatisé/ 7places / Diesel Manuel/ 289983km / annee: 2010. Prix: 2.200.000f Contact: 782718278 ou 764823888","Dakar","2010 Citroen C4","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-148","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2009 Opel Astra","2009 Opel Astra","CFA 1 500 000","160 000 km","A bazarder Opel/ Diesel Manuel/ Annee: 2009. Prix: 1.500.000f Contact: 782718278 ou 764823888","Dakar","2009 Opel Astra","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
"1786243718-149","https://www.gaaraas.com/fr/users/dakar-auto?page=2","2000 Renault 17","2000 Renault 17","CFA 6 000 000","160 000 km","A bazarder Camion Renault papiers complet aucun probleme/ Diesel manuel. Prix Cadeau: 6 millions Contact Appel ou Whatsapp: 782718278 ou 764823888","Dakar","2000 Renault 17","https://www.gaaraas.com/fr/users/dakar-auto?page=9"
